age,sex,race,realrinc,educ,hrs1,marital,bible,childs,paeduc,maeduc,degree
76,0,1,NA,16,NA,1,2,3,8,12,1
21,0,1,3405,14,30,5,2,0,13,16,0
48,0,3,30645,14,40,1,3,2,14,3,0
76,1,1,NA,15,NA,1,2,2,12,12,0
55,0,1,37455,16,37,1,2,0,9,10,1
70,0,1,14755,14,40,3,3,1,NA,12,0
66,0,1,NA,18,NA,3,3,3,16,15,1
37,0,3,14755,19,40,3,2,1,3,6,1
70,0,1,NA,16,NA,1,2,2,16,16,1
43,1,1,54480,18,57,1,2,0,17,15,1
19,0,3,NA,9,NA,5,1,1,NA,10,0
70,1,1,NA,15,NA,1,2,3,12,10,0
40,0,1,37455,18,42,1,2,0,16,16,1
59,1,3,1589,20,35,1,NA,2,7,7,1
70,0,1,NA,12,NA,1,1,3,7,7,0
31,1,1,10782.5,13,30,5,3,0,16,16,0
51,0,3,37455,18,36,5,1,0,18,16,1
32,0,2,8512.5,15,30,1,2,0,12,12,0
60,0,1,NA,12,NA,1,NA,2,12,12,0
27,1,1,8512.5,12,35,5,3,0,12,16,0
89,1,1,NA,16,NA,2,2,2,6,4,1
50,0,2,NA,11,NA,3,2,5,12,NA,0
44,0,2,14755,16,20,5,1,6,12,12,1
85,0,1,NA,12,NA,2,1,4,NA,3,0
33,1,1,14755,12,60,1,2,3,6,9,0
31,0,1,NA,14,NA,5,3,1,NA,14,0
46,0,1,72640,16,50,1,2,2,NA,12,1
72,1,1,151050.72136000003,16,70,1,3,3,15,16,1
50,0,1,37455,20,15,3,2,2,16,18,1
66,1,1,NA,20,NA,1,2,2,20,14,1
35,0,1,20430,17,38,5,2,0,17,16,1
35,0,2,NA,11,44,5,1,2,NA,12,0
33,0,2,NA,13,35,5,1,1,NA,12,0
66,0,1,NA,6,NA,4,3,5,NA,NA,0
53,1,1,14755,10,10,1,1,5,NA,8,0
37,0,2,NA,16,NA,1,1,4,NA,NA,1
33,1,1,37455,12,44,1,3,0,12,16,0
28,1,2,NA,16,40,1,2,2,16,16,1
30,0,1,NA,16,NA,1,2,1,14,12,1
37,1,1,NA,11,40,1,3,1,11,12,0
38,1,3,37455,16,40,1,3,0,12,12,0
84,1,1,NA,14,NA,1,1,2,11,12,0
66,1,1,30645,17,50,1,1,2,17,17,1
29,0,3,24970,16,40,1,2,0,16,16,1
39,1,1,54480,17,45,1,3,1,17,17,1
33,0,2,45400,16,45,1,1,2,16,14,1
68,0,3,20430,18,2,2,1,0,12,12,1
70,0,1,NA,16,30,1,2,2,16,16,1
50,1,1,NA,16,NA,1,2,2,12,4,1
54,1,1,72640,17,40,1,2,2,17,14,1
45,1,1,NA,16,NA,1,3,2,NA,12,1
48,0,1,NA,14,65,1,2,1,20,14,0
73,1,1,NA,16,NA,1,2,2,12,12,1
77,0,1,NA,18,NA,1,2,1,11,NA,1
59,0,1,54480,16,50,2,2,1,8,11,1
72,1,1,12485,12,NA,1,2,2,12,12,0
68,1,1,NA,18,NA,1,1,6,6,12,1
60,0,1,7377.5,12,44,1,2,1,16,14,0
63,1,1,24970,12,60,1,1,3,12,12,0
45,1,1,6242.5,14,25,5,2,0,12,NA,0
35,0,1,151050.72136000003,13,30,1,2,4,18,14,0
22,0,1,227,12,NA,5,1,2,12,16,0
36,0,1,NA,12,35,1,2,3,NA,12,0
76,0,1,227,13,6,2,2,4,3,NA,0
61,0,1,NA,12,NA,1,2,2,16,12,0
56,0,1,24970,12,45,3,2,1,12,12,0
26,0,2,908,12,48,5,2,0,NA,12,0
59,1,2,NA,13,NA,3,2,6,NA,9,0
55,1,2,20430,12,40,5,2,1,NA,12,0
57,1,1,45400,18,40,1,2,2,20,13,1
59,0,1,NA,14,NA,1,2,3,14,14,0
33,0,1,4086,14,18,1,1,0,NA,8,0
75,0,3,NA,2,NA,2,2,6,NA,0,0
61,1,1,37455,18,44,1,1,2,12,12,1
39,0,1,14755,13,60,1,1,3,12,14,0
38,0,1,14755,12,40,1,1,2,6,9,0
49,0,1,45400,17,55,3,3,2,12,17,1
71,1,1,NA,16,NA,1,2,2,12,14,1
47,1,2,45400,16,60,5,1,0,16,14,1
52,1,3,37455,13,50,1,3,4,0,0,0
35,0,1,30645,17,30,3,2,2,NA,7,0
54,0,1,NA,12,NA,1,1,2,NA,NA,0
39,0,1,NA,12,NA,1,2,3,NA,12,0
70,1,2,NA,11,NA,5,1,2,12,NA,0
78,0,2,NA,12,NA,2,1,4,3,3,0
74,0,1,NA,20,NA,3,3,2,15,14,1
65,1,1,9647.5,16,5,1,2,2,14,16,1
61,1,1,151050.72136000003,13,30,3,3,1,16,12,0
53,0,1,45400,16,55,1,2,2,12,12,1
21,0,3,2951,12,20,5,1,0,6,12,0
41,0,1,NA,17,36,1,2,2,20,16,1
62,0,1,5107.5,14,25,1,3,4,10,9,0
71,1,1,NA,16,NA,1,2,3,16,16,1
89,1,1,NA,16,NA,2,2,2,NA,NA,1
66,1,1,24970,17,50,1,2,3,16,12,1
28,1,1,24970,16,89,5,2,0,16,12,1
85,0,1,NA,17,NA,2,2,2,NA,16,1
70,1,1,1589,12,25,1,2,2,NA,12,0
29,0,3,30645,16,45,5,1,0,12,12,1
39,1,3,37455,16,40,1,NA,2,17,17,1
28,1,1,9647.5,16,40,5,3,0,13,12,0
74,0,1,NA,16,NA,2,2,2,16,12,1
53,0,1,17025,16,40,1,2,2,11,11,1
66,1,1,NA,20,NA,3,3,2,13,12,1
67,1,1,72640,16,50,1,2,3,16,16,1
28,0,1,NA,20,40,5,3,0,16,16,1
23,0,1,14755,16,55,5,2,0,16,16,1
37,1,1,37455,20,60,1,3,0,16,16,1
27,1,2,30645,12,60,5,3,0,12,10,0
32,0,2,908,14,NA,5,3,3,NA,14,0
40,0,2,1589,12,20,3,3,6,NA,12,0
22,0,1,NA,16,NA,5,2,0,NA,14,1
38,1,2,8512.5,14,40,4,3,1,NA,12,0
45,0,2,14755,15,NA,5,2,3,12,14,0
63,1,1,NA,12,NA,3,3,1,16,12,0
30,0,1,24970,20,37,5,3,0,NA,13,1
25,1,1,NA,12,20,5,3,0,NA,12,0
44,0,3,20430,12,40,3,3,1,NA,NA,0
56,1,1,10782.5,12,45,5,3,1,12,12,0
45,0,1,3405,12,17,1,2,2,11,12,0
27,0,3,5107.5,7,30,5,2,3,NA,NA,0
53,1,3,20430,17,40,1,2,2,7,5,1
66,0,2,12485,15,32,2,1,1,NA,8,0
48,0,2,24970,18,40,3,1,3,NA,16,1
50,0,2,17025,14,40,1,3,2,14,16,0
18,0,3,NA,11,20,5,2,0,12,8,0
51,1,2,10782.5,16,25,5,2,1,16,16,1
63,0,2,24970,13,36,3,1,4,15,12,0
57,0,2,2043,12,22,1,1,3,NA,12,0
68,1,2,NA,16,NA,2,2,3,16,12,1
64,1,1,NA,14,40,1,2,1,12,7,0
26,1,3,12485,12,50,5,2,1,NA,NA,0
58,0,1,72640,16,NA,1,1,0,12,14,0
53,0,2,63560,19,60,1,2,1,7,14,1
28,1,3,2497,12,38,5,1,0,5,9,0
30,0,1,NA,11,NA,1,3,1,NA,9,0
53,1,1,NA,14,NA,1,2,1,14,14,0
56,1,1,24970,13,50,1,1,3,6,NA,0
20,1,1,227,12,NA,5,2,0,14,12,0
64,0,1,151050.72136000003,16,NA,5,NA,0,12,12,1
40,1,3,1589,12,NA,5,2,2,16,16,0
64,0,3,NA,9,NA,1,1,4,4,5,0
39,0,1,8512.5,14,30,1,2,3,NA,14,0
42,0,1,NA,9,NA,1,1,3,6,6,0
22,1,3,2043,11,45,5,2,0,6,9,0
51,1,3,NA,5,30,1,2,6,3,2,0
40,0,3,NA,9,32,3,2,5,6,6,0
40,1,3,24970,10,70,3,1,2,0,7,0
24,0,1,NA,15,NA,1,2,1,NA,11,0
27,0,1,NA,9,NA,5,1,3,NA,NA,0
34,0,3,NA,7,NA,1,1,2,NA,15,0
24,0,3,NA,14,NA,5,NA,0,8,12,0
34,0,3,NA,12,NA,1,1,2,NA,NA,0
44,0,3,NA,16,NA,1,2,2,12,6,1
80,0,1,NA,12,NA,2,1,4,13,15,0
61,0,1,NA,16,NA,1,2,2,13,12,1
39,0,2,7377.5,12,13,3,1,3,16,14,0
41,0,1,37455,20,60,5,2,1,NA,18,1
34,1,3,30645,14,53,1,2,2,NA,18,0
70,0,1,NA,19,NA,1,1,3,12,8,1
49,0,1,45400,15,72,4,2,3,NA,16,0
59,0,3,NA,19,NA,1,2,1,16,6,1
31,0,2,17025,20,50,5,2,1,14,12,1
77,1,1,NA,16,NA,4,2,1,16,12,1
40,0,1,NA,17,30,3,NA,3,NA,14,1
53,0,2,NA,16,25,1,NA,1,NA,8,1
29,0,2,8512.5,12,NA,5,2,3,NA,12,0
39,0,2,17025,15,40,5,1,1,12,16,0
27,0,2,17025,15,NA,5,3,1,14,14,0
62,1,2,37455,18,40,3,1,3,5,5,1
48,0,2,5107.5,12,32,4,1,4,NA,11,0
28,0,3,12485,12,40,1,2,1,9,3,0
47,1,2,6242.5,12,NA,1,1,6,NA,16,0
42,0,2,17025,13,36,5,1,1,NA,14,0
38,0,1,1589,12,15,1,2,3,12,NA,0
53,1,1,20430,16,NA,1,3,1,18,12,1
40,1,2,30645,14,50,3,3,4,12,12,0
57,1,1,63560,15,75,1,3,2,16,16,0
51,1,1,4086,11,40,1,2,1,16,9,0
60,0,1,NA,14,NA,4,2,2,NA,8,0
55,0,1,54480,18,40,3,2,0,NA,0,1
40,0,1,151050.72136000003,14,52,1,1,3,11,12,0
25,1,1,NA,11,35,1,1,2,NA,3,0
19,0,3,5107.5,6,NA,5,1,0,NA,NA,0
46,1,3,9647.5,3,NA,5,4,0,NA,NA,0
60,0,2,NA,9,NA,3,1,5,NA,6,0
22,0,3,2043,12,30,5,1,2,NA,16,0
29,0,2,24970,19,38,5,2,0,14,15,1
28,1,2,14755,16,25,5,3,0,12,16,1
36,0,2,6242.5,12,45,5,2,2,NA,12,0
29,0,1,14755,16,NA,1,1,2,20,14,1
40,1,2,20430,12,52,1,2,2,6,12,0
47,1,1,30645,14,40,1,3,0,16,18,0
51,1,2,14755,14,30,3,1,2,12,14,0
63,1,1,NA,13,NA,5,2,0,16,10,0
33,1,2,NA,13,60,5,2,0,NA,14,0
47,0,2,17025,12,40,1,1,2,NA,12,0
26,0,3,10782.5,15,28,1,2,1,3,3,0
68,1,2,17025,16,20,1,3,2,NA,14,1
36,0,2,NA,16,40,1,1,1,18,18,1
34,1,1,20430,14,89,5,2,0,12,12,0
30,0,2,3405,17,40,5,2,0,12,16,1
71,0,1,NA,13,NA,1,3,2,NA,8,0
28,0,1,NA,12,55,5,2,0,16,16,0
65,1,2,6242.5,16,16,1,1,2,9,12,1
49,1,1,151050.72136000003,12,20,1,1,4,NA,12,0
32,1,1,NA,12,20,3,NA,1,10,13,0
21,0,1,2043,15,NA,5,3,0,14,14,0
38,0,1,6242.5,14,27,1,1,2,15,12,0
22,1,1,10782.5,14,40,5,3,0,14,12,0
50,1,2,17025,14,48,3,2,3,6,12,0
86,1,2,NA,13,NA,1,2,4,15,13,0
59,0,3,9647.5,12,40,1,1,4,9,9,0
28,0,2,NA,15,NA,3,1,0,NA,16,0
54,1,2,30645,15,40,1,2,2,12,20,0
71,0,2,17025,15,NA,1,1,0,12,16,1
58,0,2,20430,16,37,1,2,2,12,12,0
88,0,1,NA,3,NA,2,1,2,0,4,0
34,1,1,37455,12,40,1,2,2,12,12,0
52,0,1,7377.5,12,NA,5,1,4,12,16,0
71,0,1,NA,12,NA,1,1,2,12,12,0
21,0,3,5107.5,11,20,1,2,1,NA,11,0
23,1,2,NA,12,32,5,2,2,NA,12,0
82,1,2,NA,12,NA,2,1,0,3,NA,0
34,1,2,20430,12,30,1,3,3,NA,15,0
32,0,2,8512.5,14,37,3,3,3,NA,9,0
43,0,2,20430,15,30,3,1,0,NA,9,1
75,0,2,NA,12,NA,2,1,2,NA,NA,0
46,1,1,14755,12,50,1,2,1,NA,17,0
33,1,3,12485,12,60,5,3,0,12,12,0
79,0,3,NA,4,NA,3,1,4,0,0,0
50,0,1,NA,12,NA,3,1,2,6,4,0
40,0,1,NA,16,20,3,1,4,6,6,1
89,0,2,NA,4,NA,2,2,6,NA,NA,0
65,1,3,24970,13,40,1,1,3,NA,NA,0
69,0,2,NA,13,NA,3,2,2,NA,12,0
73,1,2,NA,12,NA,3,1,3,8,9,0
53,0,1,5107.5,9,30,5,2,2,NA,12,0
46,0,1,NA,14,NA,1,2,1,12,10,0
56,0,1,37455,12,50,3,2,1,12,NA,0
71,1,1,72640,12,40,1,2,5,5,10,0
33,1,1,37455,12,40,5,1,0,NA,12,0
68,0,1,NA,15,NA,3,2,1,NA,16,0
89,0,1,NA,12,NA,2,2,4,12,12,0
19,1,1,NA,9,22,5,1,0,6,3,0
26,1,2,2043,16,NA,5,1,0,NA,16,1
28,0,1,17025,18,44,3,1,0,18,12,1
70,1,1,NA,12,NA,3,3,2,6,6,0
38,0,2,9647.5,11,35,1,2,1,NA,NA,0
39,1,1,63560,18,40,1,2,4,15,12,1
19,1,3,NA,13,NA,5,2,0,16,14,0
45,1,1,54480,18,NA,1,2,1,18,14,1
47,0,1,63560,18,50,1,3,1,12,12,1
46,1,1,37455,18,40,1,2,2,19,16,1
19,0,1,908,11,NA,5,3,0,16,14,0
48,0,2,72640,16,45,3,1,2,16,18,1
38,0,1,NA,15,NA,1,2,3,NA,12,0
24,1,2,NA,16,NA,5,2,0,14,14,1
54,0,2,NA,12,NA,5,3,1,NA,NA,0
50,1,2,9647.5,15,36,2,1,3,14,NA,0
48,1,2,24970,13,53,3,2,2,14,14,0
25,1,2,2497,14,20,5,1,0,NA,14,0
59,1,2,24970,12,40,3,2,3,12,16,0
25,1,2,NA,12,40,5,3,0,12,9,0
28,0,2,14755,14,47,1,1,1,NA,12,0
40,0,2,5107.5,13,40,5,2,2,7,14,0
73,0,1,NA,18,NA,1,3,3,12,12,1
50,1,1,37455,10,57,1,2,2,12,NA,0
20,0,1,3405,16,42,5,3,0,18,12,0
43,1,1,30645,14,60,1,1,2,16,12,0
68,0,1,NA,16,NA,1,2,0,16,14,1
18,1,1,908,12,35,5,2,0,16,16,0
54,0,2,NA,14,40,1,2,4,NA,11,0
71,0,1,10782.5,17,20,3,NA,1,17,17,1
28,0,1,12485,12,40,1,2,0,NA,13,0
46,1,2,24970,16,40,5,1,0,13,16,1
47,1,1,9647.5,10,42,1,2,4,12,12,0
65,0,1,20430,12,37,2,2,0,12,12,0
18,1,1,NA,12,33,5,3,0,12,12,0
57,0,2,20430,14,50,1,1,3,NA,9,0
65,0,1,2497,16,14,2,2,1,12,11,1
25,0,2,7377.5,12,20,5,2,1,NA,15,0
30,1,2,24970,12,60,5,2,0,NA,12,0
37,0,2,NA,13,NA,5,1,2,12,12,0
68,0,1,NA,12,NA,1,1,2,8,8,0
47,1,1,54480,15,48,3,3,3,12,12,0
61,1,1,NA,10,NA,5,2,0,12,12,0
23,1,3,10782.5,12,40,5,1,0,12,NA,0
27,1,1,14755,18,40,5,3,0,20,12,0
19,1,1,NA,11,54,5,3,0,16,14,0
54,1,1,37455,20,45,1,3,0,12,14,1
34,0,1,2497,16,NA,1,3,0,NA,12,0
89,0,1,NA,18,NA,2,2,3,8,8,1
34,1,3,20430,14,NA,1,2,1,5,5,0
64,1,1,NA,16,NA,1,1,6,14,12,1
36,0,1,45400,16,40,1,3,2,12,18,1
42,0,1,24970,16,NA,3,3,3,12,12,1
44,0,3,1589,16,40,1,3,0,12,14,0
44,1,1,151050.72136000003,15,40,2,2,2,14,14,0
43,1,1,63560,18,45,5,3,0,NA,14,1
77,0,1,NA,17,NA,2,2,3,14,12,1
43,1,1,NA,9,40,3,3,2,NA,12,0
36,1,1,12485,12,16,3,2,2,NA,16,0
30,1,1,5107.5,16,24,5,3,0,12,14,1
58,1,1,24970,19,NA,3,3,3,9,12,1
89,0,1,NA,16,NA,3,2,2,12,8,1
62,1,1,NA,12,NA,5,2,0,12,12,0
76,0,1,NA,14,27,2,2,1,NA,NA,0
51,0,1,20430,14,NA,1,3,3,14,14,0
27,0,1,7377.5,14,68,5,2,0,18,NA,0
73,1,1,NA,14,NA,1,3,0,11,12,0
28,1,1,37455,8,50,5,3,0,12,12,0
34,1,1,20430,16,40,1,3,0,12,12,1
40,0,1,NA,12,NA,5,1,6,10,12,0
35,0,1,20430,16,40,1,2,1,12,9,1
70,1,1,NA,14,50,2,1,0,12,8,0
82,0,1,NA,13,NA,2,2,3,8,NA,0
52,0,1,7377.5,17,32,3,2,4,8,8,0
56,1,1,30645,12,48,3,2,1,12,NA,0
46,0,1,17025,15,NA,1,2,0,NA,14,0
33,0,1,5107.5,12,11,1,1,3,12,12,0
23,0,3,6242.5,8,24,5,2,0,8,8,0
48,1,1,37455,12,42,1,2,2,10,12,0
55,1,1,30645,14,42,3,3,2,16,14,0
56,0,1,NA,12,NA,3,3,0,14,NA,0
74,0,1,NA,16,NA,1,2,2,8,11,1
28,0,1,17025,12,38,5,3,3,NA,12,0
24,0,2,9647.5,NA,32,1,1,2,NA,16,0
62,1,2,NA,20,NA,1,2,2,13,12,1
74,0,2,NA,15,15,2,1,2,12,13,0
24,0,3,9647.5,12,37,5,2,1,12,12,0
29,0,2,5107.5,15,89,1,3,0,NA,15,0
59,0,1,17025,14,70,2,2,3,3,2,0
73,1,1,NA,15,NA,5,1,0,6,10,0
65,1,3,10782.5,3,NA,1,2,6,NA,0,0
19,0,1,10782.5,12,38,1,2,0,14,12,0
22,0,3,2497,12,20,5,2,0,NA,NA,0
40,1,1,5107.5,16,15,1,2,3,12,20,1
48,1,3,9647.5,7,70,1,1,0,NA,0,0
61,1,2,NA,12,NA,1,2,6,NA,12,0
49,0,1,63560,16,52,1,3,3,16,14,1
39,1,3,24970,12,40,1,2,3,6,9,0
45,0,3,12485,16,40,4,3,6,12,13,0
60,1,1,NA,13,NA,5,3,0,12,12,0
32,1,1,20430,16,40,5,3,0,18,16,1
39,1,1,17025,18,32,5,3,0,16,12,1
52,0,2,NA,16,40,1,1,3,NA,12,1
44,0,3,8512.5,15,32,1,3,2,NA,15,0
59,0,2,3405,12,20,3,1,2,NA,12,0
46,0,1,9647.5,12,28,3,2,6,NA,16,0
63,1,1,NA,12,NA,5,2,0,12,12,0
26,1,2,NA,12,NA,5,1,0,NA,14,0
31,1,3,NA,12,NA,5,3,0,NA,0,0
19,1,2,2951,12,NA,5,2,0,NA,16,0
40,0,1,5107.5,18,45,5,3,0,9,16,1
64,1,2,NA,16,NA,1,2,3,12,14,0
25,1,1,3405,15,NA,5,3,0,16,14,0
56,1,1,NA,12,NA,1,2,4,12,12,0
41,0,1,NA,14,NA,1,2,2,NA,12,0
54,0,2,30645,16,48,3,NA,2,NA,16,1
40,1,1,NA,12,40,4,1,2,NA,NA,0
64,1,1,63560,16,40,1,2,2,4,NA,1
56,0,1,37455,16,32,3,2,2,12,12,1
71,0,1,NA,12,NA,2,2,3,12,12,0
50,1,1,63560,16,40,1,3,0,12,12,1
69,1,1,NA,13,NA,3,3,3,13,6,0
49,1,1,1589,12,36,5,2,0,NA,12,0
61,1,1,151050.72136000003,12,60,1,2,2,15,12,0
38,0,1,24970,19,NA,3,2,0,12,12,0
74,1,1,151050.72136000003,16,60,1,3,5,8,12,1
40,0,1,NA,12,NA,1,2,4,12,12,0
34,1,3,NA,12,NA,1,4,0,NA,NA,0
41,1,3,24970,14,40,3,2,0,12,NA,0
78,1,1,30645,10,30,1,2,0,9,NA,0
47,0,3,2497,9,20,1,1,4,2,3,0
50,0,1,6242.5,14,30,5,3,3,12,NA,0
41,0,1,9647.5,12,40,4,3,3,NA,12,0
63,0,1,NA,15,NA,3,1,3,12,12,0
56,1,1,30645,14,40,1,2,1,12,12,0
18,0,1,NA,12,NA,5,2,0,NA,16,0
25,1,3,14755,12,84,1,3,3,12,16,0
55,0,1,20430,14,40,1,3,2,14,6,0
58,1,1,5107.5,14,28,3,2,2,16,16,0
39,0,1,17025,14,30,1,2,2,14,14,0
42,0,3,NA,16,NA,1,2,3,2,1,1
25,1,3,20430,12,NA,5,3,1,NA,12,0
76,0,1,NA,6,NA,1,1,7,3,3,0
53,0,3,37455,17,40,3,2,4,9,6,1
57,1,1,30645,14,50,5,3,0,NA,NA,0
53,0,1,24970,14,54,1,2,3,10,15,0
63,1,1,NA,16,NA,1,2,6,12,12,0
62,0,1,NA,16,NA,1,2,2,6,5,1
56,0,2,45400,17,1,1,1,2,12,12,1
70,1,2,NA,12,NA,3,1,0,12,12,0
35,1,2,30645,16,60,5,2,0,16,12,1
64,0,1,227,16,40,1,3,2,12,10,1
32,1,1,NA,13,70,1,3,3,2,8,0
27,0,1,8512.5,16,NA,5,1,0,16,12,1
67,1,2,20430,12,28,1,1,4,NA,0,0
27,0,1,908,12,NA,1,2,1,14,12,0
31,1,1,908,15,32,5,3,0,18,12,0
79,0,1,NA,13,NA,1,1,2,8,12,0
41,0,1,30645,20,50,3,3,2,12,14,0
29,0,1,6242.5,15,NA,1,2,2,NA,14,0
42,0,2,NA,8,8,5,3,6,NA,12,0
89,0,1,NA,12,NA,2,3,2,12,12,0
52,0,1,6242.5,16,28,1,2,4,NA,16,1
78,1,1,NA,16,NA,1,3,3,NA,16,1
77,1,1,7377.5,12,NA,1,3,6,7,5,0
42,0,1,63560,16,50,3,2,0,16,14,1
45,1,1,30645,16,40,1,1,2,16,14,1
64,0,1,NA,16,15,1,2,1,20,14,1
83,0,1,NA,12,NA,3,2,1,3,NA,0
49,0,1,30645,17,55,1,2,0,18,12,1
31,0,1,20430,17,NA,1,2,2,12,16,1
42,0,1,9647.5,16,16,1,1,2,16,16,1
25,0,1,NA,14,35,5,3,1,12,NA,0
47,1,1,14755,16,40,1,1,4,16,16,1
48,0,1,30645,16,24,1,3,3,16,16,0
53,0,1,9647.5,12,NA,2,2,3,11,12,0
57,1,1,20430,18,40,3,2,2,NA,9,1
84,0,1,NA,12,NA,2,1,2,8,NA,0
83,0,1,NA,14,NA,2,2,0,6,6,0
68,0,1,10782.5,16,40,2,2,1,NA,16,1
64,1,1,NA,12,NA,5,2,0,10,12,0
63,0,1,14755,16,35,3,3,0,13,12,1
70,0,1,NA,12,NA,2,2,3,12,12,0
21,1,2,NA,15,16,5,2,0,NA,14,0
29,1,2,8512.5,12,16,5,2,0,10,16,0
56,1,2,30645,13,61,3,3,2,NA,NA,0
27,1,2,12485,16,NA,5,2,0,16,16,0
53,0,1,NA,12,NA,1,1,1,10,10,0
68,1,1,NA,12,NA,1,2,2,NA,8,0
44,1,1,45400,12,56,3,3,2,NA,16,0
68,0,1,NA,11,NA,1,1,2,NA,8,0
39,1,1,24970,12,43,5,3,2,12,12,0
57,1,1,14755,12,43,3,2,0,16,NA,0
25,1,2,14755,12,62,5,1,0,12,16,0
42,0,2,1589,13,NA,5,1,3,12,NA,0
25,1,2,NA,13,NA,5,1,0,NA,16,0
19,0,2,908,12,40,5,2,0,NA,16,0
66,0,2,NA,12,NA,5,1,4,NA,12,0
74,1,2,NA,14,NA,4,2,2,5,12,0
69,0,3,NA,20,NA,3,2,0,12,12,1
26,0,2,227,12,NA,5,2,1,NA,12,0
69,1,2,10782.5,14,NA,2,2,2,12,NA,0
27,0,1,14755,15,40,1,2,0,12,NA,0
53,1,1,24970,14,NA,5,4,0,NA,15,0
35,1,1,24970,10,40,3,4,3,12,12,0
32,0,1,12485,14,45,1,2,1,12,12,0
19,0,1,NA,11,28,5,3,0,18,14,0
56,1,1,17025,14,60,1,2,4,NA,NA,0
69,1,1,NA,14,NA,3,1,2,8,8,0
66,0,1,NA,12,NA,1,2,1,11,12,0
69,0,1,NA,20,NA,2,1,3,2,6,1
43,1,1,14755,12,60,5,4,2,8,12,0
43,0,1,12485,12,85,3,1,6,NA,12,0
44,0,1,NA,16,50,1,2,2,NA,12,1
58,1,1,63560,16,40,2,2,2,12,12,1
38,1,1,NA,12,40,1,1,2,12,12,0
49,0,1,NA,17,60,1,2,4,16,12,1
51,1,1,37455,12,62,1,2,2,12,12,0
59,0,1,14755,20,50,1,1,2,8,12,1
68,1,1,NA,14,NA,3,NA,1,8,8,0
73,1,1,NA,18,NA,1,2,1,6,12,1
67,1,1,NA,18,NA,1,2,2,12,12,1
